MLS,Status,Residential Styles,Address Number,Address Street,Zip,Map Coordinates,Community,Bedrooms Total,Baths Full,Baths Half,Estimated Square Feet,Year Built,DOMLS,List Price,Original Price,List Date Received,Sold Price,Close of Escrow Date
220005610,Active,All Other Attached,530,Telegraph Canyon,91910,,CHULA VISTA,3,2,0,1186,1985,5,479900,479900,03/11/2022,,
220005285,Active,Detached,15406,Happy,92061,,PAUMA VALLEY,2,2,0,1971,1980,7,489000,489000,03/09/2022,,
220005596,Active,All Other Attached,3574,Boussock,92057,,SAN DIEGO,2,1,1,1046,1974,5,489900,489900,03/11/2022,,
PTP2201536,Pending,"All Other Attached, Condominium",17627,Pomerado,92128,,,2,2,,980,1979,4,489900,489900,03/10/2022,,
220005788,Active,All Other Attached,2208,River Run,92108,1269D1,MISSION VALLEY,2,1,0,928,1985,2,495000,495000,03/14/2022,,
220005585,Active,Townhome,3966,60th,92115,1270C5,SAN DIEGO,2,2,1,1041,1981,5,495000,495000,03/11/2022,,
220005748,Active,Detached,4123,Cortez,91977,,CASOR33210,2,2,0,716,1951,3,495000,495000,03/13/2022,,
220005592,Active,All Other Attached,331,Fireside,92058,1086F3,OCEANSIDE,3,2,0,1150,1974,5,495000,495000,03/11/2022,,
220005578,Pending,All Other Attached,4212,Vista Del Rio,92057,1086J3,OCEANSIDE,2,2,0,1152,1985,4,495000,495000,03/11/2022,,
PTP2201542,Active,"Detached, Commercial/Residential",31514,Highway 94,91906,,,3,2,,2000,2000,6,499000,499000,03/09/2022,,
PTP2201574,Active,"Detached, Condominium",4281,Lowell St.,91941,,,3,2,,1118,1978,6,499000,499000,03/10/2022,,
220005636,Active,Detached,5140,Montiel Truck,91935,,JAMUL,2,1,0,1161,1970,5,499000,499000,03/11/2022,,
220005559,Pending,All Other Attached,10056,Maya Linda,92126,,MIRA MESA,2,2,0,956,1988,4,499900,499900,03/11/2022,,
220005611,Active,All Other Attached,4185,Louisiana,92104,1269D5,NORTH PARK,1,1,0,638,1979,5,500000,450000,03/11/2022,,
PTP2201543,Active,"All Other Attached, Detached",3714,Clinton,92113,,,3,1,,734,1935,7,500000,500000,03/09/2022,,
NDP2202099,Active,"All Other Attached, Condominium",1810,El Camino Real,92024,,,1,1,0,650,1998,8,509000,509000,03/08/2022,,
NDP2202284,Active,"Manufactured Home, Detached",8975,Lawrence Welk,92026,,,2,2,0,1936,1981,4,509000,509000,03/12/2022,,
220005637,Active,All Other Attached,1461,Hemlock,91932,1349J2,IMPERIAL BEACH,2,1,1,993,1990,4,510000,510000,03/12/2022,,
NDP2202250,Pending,"All Other Attached, Condominium",450,Vermont,92025,,,2,2,,1204,1981,4,510000,449000,03/11/2022,,
PTP2201552,Pending,"All Other Attached, Condominium",7780,Parkway,91942,,,2,2,,1115,1982,5,515000,515000,03/10/2022,,
220005929,Active,All Other Attached,2135,E Valley,92027,1110D7,EAST ESCONDIDO,2,2,0,1278,1982,0,519000,519000,03/16/2022,,
220005670,Pending,All Other Attached,8444,New Salem,92126,1209C3,SAN DIEGO,2,2,0,866,1985,4,519900,519900,03/11/2022,,
NDP2202111,Active,Manufactured Home,1930,San Marcos,92078,,,2,2,,1464,1972,6,519999,519999,03/02/2022,,
220005513,Active,Townhome,10582,Kerrigan,92071,,SANTEE,3,1,1,1323,1974,6,524000,524000,03/10/2022,,
220005634,Active,All Other Attached,4565,Cleveland,92116,,UNIVERSITY HEIGHTS,2,2,0,813,1981,5,525000,525000,03/11/2022,,
ND22048841,Active,"Detached, Commercial/Residential",26650,San Felipe,92086,,,1,1,2,400,1950,5,525000,525000,03/11/2022,,
SDC0000332,Active,All Other Attached,424,Nantucket,92027,1110D7,EAST ESCONDIDO,2,2,0,1154,1985,7,525000,525000,03/09/2022,,
220005812,Active,All Other Attached,3989,Nobel,92122,1228C3,UNIVERSITY CITY,1,1,0,554,1987,2,525000,525000,03/14/2022,,
PTP2201502,Pending,Detached,1150,Goodyear Street,92113,,,2,1,,729,1960,7,525000,525000,03/08/2022,,
220005228,Pending,Townhome,12069,Calle De Medio,92019,,RANCHO SAN DIEGO,2,2,1,1139,1991,1,525000,525000,03/08/2022,,
IV22049119,Active,Detached,1770,69th,91945,,,3,2,0,1550,1953,5,528940,528940,03/11/2022,,
220005455,Pending,All Other Attached,205,Eveningside Gln,92026,1109G4,NORTH ESCONDIDO,3,1,1,1206,1978,4,529000,559000,03/10/2022,,
220005540,Active,All Other Attached,4851,Cole,92117,1.25E+04,CLAIREMONT,2,1,1,896,1968,6,529800,529800,03/10/2022,,
PTP2201505,Pending,"All Other Attached, Condominium",8715,Spring Canyon,91977,,,2,2,1,1088,1986,7,530000,449000,03/08/2022,,
RS22051650,Active,Detached,320,18th,91950,,,2,1,,852,1950,1,535000,535000,03/15/2022,,
NDP2202140,Pending,"All Other Attached, Condominium",3557,Apple Blossom,92058,,,2,2,,1154,1985,6,535000,535000,03/09/2022,,
220005584,Active,All Other Attached,5493,Adobe Falls,92120,1270A1,DELCERR337,2,2,0,1144,1973,2,539000,500000,03/14/2022,,
220005402,Active,Townhome,847,Dana Point,92058,1066G7,OCEANSIDE,2,1,1,1104,1988,6,539000,539000,03/10/2022,,
220005791,Active,All Other Attached,5045,Collwood,92115,1270A2,SAN DIEGO,2,2,0,1020,1981,2,539000,539000,03/14/2022,,
PTP2201559,Pending,"All Other Attached, Condominium",11402,Via Rancho San Diego,92019,,,3,2,,1216,1996,0,539900,539900,03/10/2022,,
220005506,Active,Detached,7446,San Miguel,91945,,LEMON GROVE,3,1,0,1306,1953,6,540000,540000,03/10/2022,,
PTP2201562,Pending,"All Other Attached, Condominium",5455,Mandarin Cove,92115,,,2,2,,947,2002,6,540000,439900,03/10/2022,,
220005501,Pending,Townhome,10630,King Phillip,92071,,SANTEE,4,2,0,1286,1978,0,542500,542500,03/10/2022,,
NDP2202096,Active,"Manufactured Home, Detached",8975,Lawrence Welk,92026,,,3,2,0,1620,2011,8,545000,545000,03/08/2022,,
220005533,Pending,Townhome,1905,Terrakappa,91977,,SPRING VALLEY,3,1,1,1389,1973,5,545000,545000,03/10/2022,,
220005802,Active,All Other Attached,1542,Sonora,91911,1330H4,CHULA VISTA,4,2,1,1460,1975,2,549000,549000,03/14/2022,,
220005453,Active,All Other Attached,427,9th,92101,1289B4,DOWNTOWN,1,1,0,826,2005,6,549000,549000,03/10/2022,,
220005416,Active,All Other Attached,3976,Nobel,92122,1228C3,UNIVERSITY CITY,1,1,0,849,1983,6,549900,549900,03/10/2022,,
PTP2201685,Active,"All Other Attached, Townhome",1314,Cassiopeia Ln,92154,,,3,3,,1428,2004,1,550000,550000,03/15/2022,,
220005872,Active,All Other Attached,5712,Baltimore,91942,1250G7,LA MESA,2,2,0,950,1976,1,550000,550000,03/15/2022,,
220005859,Active,Detached,38747,Alta Vega,91905,,BOULEVARD,3,2,0,1176,2001,1,550000,550000,03/15/2022,,
220005903,Active,All Other Attached,1501,Brandywine,91911,1330H3,CHULA VISTA,2,2,0,1229,1988,1,550000,550000,03/15/2022,,
220005657,Active,All Other Attached,14948,Avenida Venusto,92128,,CARMEL MOUNTAIN RANCH,2,2,0,1036,1988,5,550000,550000,03/11/2022,,
220005933,Active,All Other Attached,3506,Del Sol,92154,1.35E+04,UNKNOWN999,4,2,0,1206,1974,0,555000,555000,03/16/2022,,
PTP2201584,Active,"All Other Attached, Condominium",10388,Alphonse,92071,,,3,2,,1149,1983,6,555900,555900,03/10/2022,,
220005355,Pending,All Other Attached,3370,Cherokee,92104,1269G6,NORTH PARK,2,2,0,1069,1987,3,559000,559000,03/09/2022,,
NDP2202218,Active,"Manufactured Home, Detached",8975,Lawrence Welk Drive,92026,,,3,2,0,1840,2013,6,569000,569000,03/10/2022,,
220005569,Pending,All Other Attached,445,Island,92101,1289A4,DOWNTOWN,1,1,0,832,2006,4,569000,569000,03/11/2022,,
PTP2201694,Active,"All Other Attached, Detached",13214,Saddle Ridge Rd,92040,,,4,2,,1373,1974,0,570000,570000,03/16/2022,,
NDP2202270,Sold,Detached,29939,The Yellow Brick Rd,92082,,,1,1,,800,1982,0,570000,570000,03/11/2022,570000,03/11/2022
220005486,Active,Townhome,4593,Sunrise Rdg,92056,1087D4,UNKNOWN999,2,1,0,873,1980,6,575000,575000,03/10/2022,,
220005682,Active,Detached,4119,Nordica,92113,,SAN DIEGO,2,1,0,504,1956,1,575000,575000,03/15/2022,,
220005573,Pending,Detached,1114,45th,92113,,LOGAN HEIGHTS,5,1,0,1176,1942,4,575000,575000,03/11/2022,,
PTP2201597,Pending,"All Other Attached, Townhome",4300,Newton,92113,,,3,3,,1288,2008,3,575000,575000,03/11/2022,,
220005564,Active,Detached,705,Pecos,91977,,SPRING VALLEY,4,2,0,1220,1971,5,579000,579000,03/11/2022,,
220005454,Pending,Townhome,2545,Kings View,91977,1271A7,SPRING VALLEY,3,2,1,1104,1993,5,579900,509000,03/10/2022,,
PTP2201537,Pending,Detached,8440,Sleepy Way,92021,,,3,2,,1204,1989,5,589900,589900,03/09/2022,,
220005814,Active,All Other Attached,875,G,92101,1289B3,DOWNTOWN,1,1,0,966,2006,2,595000,595000,03/14/2022,,
220005379,Pending,All Other Attached,12229,Carmel Vista,92130,,CARMEL VALLEY,1,1,0,791,1984,6,595000,595000,03/09/2022,,
220005786,Active,All Other Attached,1588,San Alfonso,92154,,SAN DIEGO,3,2,1,1410,2018,2,599000,599000,03/14/2022,,
220005910,Active,Detached,364,Anns,92083,,VISTA,3,2,0,1420,1978,1,599000,599000,03/15/2022,,
NDP2202177,Active,"Detached, Condominium",313,61st St,92114,,,3,2,1,1352,1989,6,599000,599000,03/10/2022,,
PTP2201667,Active,Detached,9645,Rosie,92071,,,3,2,,1410,1978,1,599000,599000,03/15/2022,,
220005758,Active,All Other Attached,16495,Caminito Vecinos,92128,,RANCHO BERNARDO,2,2,0,1372,1973,2,599000,599000,03/14/2022,,
220005582,Pending,All Other Attached,6828,Hyde Park,92119,,SAN CARLOS,3,2,0,1567,1971,4,599000,549000,03/11/2022,,
220005768,Active,All Other Attached,1514,7th,92101,1289B2,DOWNTOWN,2,2,0,1069,1982,2,599900,599900,03/14/2022,,
220005615,Active,Detached,408,Shady Glen,92028,,SAN DIEGO,3,2,0,1207,1985,5,599900,599900,03/11/2022,,
PTP2201676,Active,Detached,122,King,91910,,,2,1,,828,1951,1,600000,570000,03/15/2022,,
220005342,Pending,Twinhome,846,Lemon,92084,1087H5,SAN DIEGO,2,1,0,804,1971,5,600000,479900,03/09/2022,,
220005622,Pending,Townhome,6852,Panamint,92139,1290F7,PARADISE HILLS,3,2,0,1183,1980,4,605000,529900,03/11/2022,,
RS22048886,Active,"All Other Attached, Condominium",458,Almond,92078,,,2,2,1,1051,2004,2,610000,610000,03/14/2022,,
PTP2201680,Active,Detached,2861,Three Peaks Ln,92036,,,2,1,0,1821,1979,1,610000,610000,03/15/2022,,
PTP2201609,Pending,"Detached, Condominium",12146,Rancho Bernardo Rd,92128,,,2,2,,1119,1969,4,620000,620000,03/11/2022,,
220005429,Pending,Detached,3516,Landis,92104,1269F6,NORTH PARK,1,1,0,528,1926,5,620000,620000,03/10/2022,,
220005663,Active,Detached,25119,Como Esta,92065,1173H3,RAMONA,3,2,0,1495,1985,5,624900,624900,03/11/2022,,
220005450,Active,Detached,746,Broadway,91910,1330A2,CHULA VISTA,3,3,1,1660,2005,6,625000,625000,03/10/2022,,
220005438,Pending,All Other Attached,5381,Calle Rockfish,92154,1350J1,SOUTH SD,3,2,1,1595,2020,6,625000,625000,03/10/2022,,
220005625,Active,Detached,701,Melrose,92083,1087F5,VISTA,3,2,0,1542,1961,5,629000,629000,03/11/2022,,
220005253,Pending,All Other Attached,1839,Monaco,91913,1.33E+04,CHULA VISTA,3,2,1,1350,2004,7,630000,630000,03/08/2022,,
220005907,Active,Detached,8384,Jackson Heights,92021,1252B1,EL CAJON,3,2,0,1248,1986,1,635000,635000,03/15/2022,,
NDP2202137,Active,Detached,1489,De Anza Drive,92004,,,3,3,1,2970,1980,7,639000,639000,03/09/2022,,
NDP2202379,Active,"All Other Attached, Condominium",13661,Ruette Le Parc,92014,,,2,2,,1164,1978,1,640000,640000,03/15/2022,,
PTP2201603,Active,"All Other Attached, Detached",720,Mariposa Cir,91950,,,3,2,1,1425,2005,5,640000,640000,03/11/2022,,
NDP2202214,Active,"All Other Attached, Condominium",13754,Mango,92014,,,1,1,,628,1976,4,649000,649000,03/12/2022,,
220005577,Pending,Detached,610,Aster,92027,,SOUTHEAST ESCONDIDO,3,2,0,1275,1963,5,649000,649000,03/11/2022,,
NDP2202361,Pending,Detached,3507,Spruce,92058,,,3,2,0,1606,1979,1,649000,649000,03/15/2022,,
NDP2202210,Pending,"All Other Attached, Condominium",6961,Sandpiper,92009,,,2,2,,1153,1985,3,649000,649000,03/10/2022,,
220005557,Active,Detached,2011,O,91950,1310A2,NATIONAL CITY,3,1,0,1039,1939,5,649900,649900,03/11/2022,,
NDP2202337,Active,Detached,729,Reef Drive,92154,,,3,2,,1196,1970,1,649900,649900,03/15/2022,,
220005463,Pending,Townhome,13221,Midnight Star,92040,,LAKESIDE,3,2,1,1465,2015,4,649900,649900,03/10/2022,,
220005867,Active,Detached,505,Sacramento,91977,,SPRING VALLEY,3,1,1,1305,1979,1,649999,649999,03/15/2022,,
220005286,Active,Detached,1272,Mollison,92021,,EL CAJON,2,1,0,1006,1937,7,649999,690000,03/09/2022,,
220005654,Active,Detached,12380,Quail,91916,,DESCANSO,3,2,0,1248,1985,5,650000,650000,03/11/2022,,
NDP2202201,Active,Detached,4950,Solola,92113,,,3,2,,1355,1957,6,650000,650000,03/10/2022,,
220005644,Active,Detached,1736,Wolfsdorf,91913,,CHULA VISTA,3,2,1,1577,2009,3,650000,650000,03/13/2022,,
220005837,Active,All Other Attached,680,Camino De La Reina,92108,,MISSION VALLEY,2,2,0,1017,1995,1,650000,650000,03/15/2022,,
220005237,Pending,Detached,13269,Saddle Ridge,92040,1232C5,LAKESIDE,4,2,0,1249,1974,7,650000,650000,03/08/2022,,
220005389,Pending,Detached,16495,Bernardo Oaks,92128,,RANCHO BERNARDO,2,2,0,1197,1965,4,650000,650000,03/11/2022,,
220005752,Active,Detached,1621,Primera,91945,1290F2,LEMON GROVE,3,2,0,1217,1958,3,659000,659000,03/13/2022,,
220005386,Pending,All Other Attached,4930,Del Mar Ave 101,92107,,OCEAN BEACH,2,2,0,912,1967,6,659000,659000,03/09/2022,,
220005762,Pending,All Other Attached,1265,Essex,92103,,UPPMIHILLS,2,1,1,1088,1975,0,665000,665000,03/14/2022,,
NDP2202176,Active,Detached,917,Venice,92026,,,3,2,,1337,1988,6,669000,669000,03/10/2022,,
220005652,Active,Townhome,11896,Paseo Lucido,92128,,RANCHO BERNARDO,2,2,0,1283,1982,5,669000,649000,03/11/2022,,
PTP2201591,Active,Detached,576,Jeffree,92020,,,3,2,,1118,1957,5,669000,669000,03/11/2022,,
220005678,Pending,Detached,1058,Petalo,91910,1311,CHULA VISTA,3,2,1,1570,1989,2,674900,674900,03/11/2022,,
220005406,Pending,Detached,7160,Pearson,91941,,LA MESA,4,2,2,1900,1949,5,674900,674900,03/10/2022,,
220005618,Active,All Other Attached,3405,Florida,92104,,NORTH PARK,2,2,0,1198,1988,5,675000,675000,03/11/2022,,
220005825,Active,Detached,4278,Willows,91901,,THEWITWILO,4,2,0,1502,1922,2,675000,675000,03/14/2022,,
PTP2201594,Active,Detached,1347,Madera,92114,,,3,1,1,1200,1972,5,675000,675000,03/11/2022,,
