MLS,Status,Rental Residential Styles,Address Number,Address Street,Zip,Bedrooms Total,Baths Full,Baths Half,Estimated Square Feet,Levels,Year Built,Listing Type,Price Reflects,DOMLS,List Price,Original Price,List Date Received,Rented Price,Close of Escrow Date
220003482,Pending,Detached,8566,Golden,91945,2,1,0,900,1 Story,1955,Open Listing (O),Monthly,12,2000,2000,02/16/2022,,
210034166,Rented,All Other Attached,4655,Ohio,92116,1,1,0,588,2 Story,1971,Exclusive Agency (A),Monthly,3,2000,2000000,01/03/2022,2000,01/06/2022
210033869,Rented,Detached,3717,35th,92104,1,1,0,500,1 Story,1960,Exclusive Right (R),Monthly,4,2000,1800,12/27/2021,2000,12/31/2021
220001589,Rented,All Other Attached,6366,Rancho Mission,92108,1,1,0,506,1 Story,1979,Exclusive Agency (A),Monthly,17,2200,2100,01/25/2022,2000,02/14/2022
210033664,Rented,All Other Attached,1435,India,92101,1,1,0,803,1 Story,2005,Exclusive Right (R),Monthly,3,2000,2000,12/20/2021,2000,12/23/2021
220004974,Rented,All Other Attached,6204,Agee,92122,1,1,0,692,1 Story,1978,Exclusive Right (R),Monthly,5,2050,2050,03/04/2022,2050,03/09/2022
220003526,Rented,All Other Attached,6208,Agee,92122,1,1,0,692,1 Story,1978,Exclusive Right (R),Monthly,13,2050,2200,02/17/2022,2050,03/03/2022
220001235,Rented,All Other Attached,6333,College Grove,92115,2,1,1,865,2 Story,1973,Exclusive Agency (A),Monthly,8,2100,2100,01/20/2022,2100,01/28/2022
220004763,Rented,All Other Attached,889,Date,92101,1,1,0,671,1 Story,2007,Exclusive Right (R),Monthly,7,2100,2100,03/02/2022,2100,03/10/2022
210033909,Rented,All Other Attached,1080,Park,92101,1,1,0,618,1 Story,2007,Exclusive Right (R),Monthly,8,2100,2100,12/28/2021,2100,01/05/2022
220004059,Rented,Apartment,500,Clementine,92054,1,1,0,1000,2 Story,1973,Exclusive Agency (A),Monthly,6,2100,2100,02/23/2022,2100,03/03/2022
220000424,Rented,All Other Attached,3887,Pell,92130,1,1,0,748,4 Story,2005,Exclusive Agency (A),Monthly,5,2100,2100,01/08/2022,2100,01/16/2022
220001978,Rented,All Other Attached,1601,India,92101,1,1,0,739,1 Story,2003,Exclusive Right (R),Monthly,0,2130,2130,01/28/2022,2130,01/28/2022
220002385,Rented,Apartment,8889,Caminito Plaza Centro,92122,1,1,0,535,1 Story,2006,Exclusive Agency (A),Monthly,13,2200,2200,02/03/2022,2150,02/16/2022
220003777,Rented,All Other Attached,9562,Carroll Canyon,92126,1,1,0,604,1 Story,1977,Exclusive Right (R),Monthly,8,2150,2150,02/18/2022,2150,02/26/2022
210032430,Rented,All Other Attached,10332,Caminito Aralia,92131,1,1,0,660,1 Story,1979,Exclusive Right (R),Monthly,14,2150,2150,12/01/2021,2150,12/15/2021
220003302,Rented,All Other Attached,2230,Monroe,92116,2,1,1,681,1 Story,1983,Exclusive Agency (A),Monthly,9,2155,2155,02/15/2022,2155,03/09/2022
220003474,Pending,All Other Attached,550,Park,92101,1,1,0,810,1 Story,2004,Exclusive Right (R),Monthly,4,2195,2150,02/16/2022,,
NDP2201886,Active,Detached,1219,Barham,92078,2,2,,1441,1 Story,1971,Exclusive Right To Lease,,14,2200,2200,03/02/2022,,
ML81875395,Rented,,8889,Caminito Plaza Centro,92122,1,1,,600,,2006,Exclusive Right To Lease,,16,2200,2600,01/22/2022,2200,02/18/2022
210032518,Rented,All Other Attached,530,K,92101,0,1,0,487,1 Story,2005,Exclusive Right (R),Monthly,36,2200,2300,12/02/2021,2200,01/07/2022
220002786,Rented,All Other Attached,12525,Ruette Alliante,92130,1,1,0,625,1 Story,1997,Exclusive Agency (A),Monthly,5,2200,2200,02/08/2022,2200,02/14/2022
220003338,Active,All Other Attached,9860,Dale,91977,2,2,0,950,1 Story,1979,Exclusive Agency (A),Monthly,29,2250,2400,02/15/2022,,
220005270,Active,All Other Attached,17199,W. Bernardo,92127,2,1,0,912,2 Story,1994,Exclusive Right (R),Monthly,8,2250,2250,03/08/2022,,
210032877,Rented,All Other Attached,7150,Shoreline,92122,1,1,0,597,3 Story,1988,Exclusive Right (R),Monthly,31,2250,2350,12/08/2021,2250,01/08/2022
220002279,Rented,All Other Attached,1150,J,92101,1,1,0,735,1 Story,2005,Exclusive Right (R),Monthly,2,2250,2250,02/02/2022,2250,02/04/2022
220001107,Rented,All Other Attached,3134,Via Alicante,92037,1,1,0,691,1 Story,1971,Exclusive Agency (A),Monthly,7,2250,2250,01/18/2022,2250,02/05/2022
220004236,Rented,Townhome,5777,Gaines,92110,2,1,0,828,1 Story,1981,Exclusive Agency (A),Monthly,13,2295,2295,02/24/2022,2295,03/14/2022
220001498,Rented,All Other Attached,1080,Park,92101,1,1,0,854,1 Story,2007,Exclusive Agency (A),Monthly,14,2295,2295,01/24/2022,2295,02/14/2022
220003998,Active,Twinhome,4344 1/2,Bancroft,92104,1,1,0,700,1 Story,1927,Exclusive Agency (A),Monthly,22,2300,2350,02/22/2022,,
PTP2201691,Active,Detached,2468,Rancho,92139,2,1,,1352,1 Story,1947,Exclusive Right To Lease,,0,2300,2300,03/16/2022,,
220002198,Rented,All Other Attached,777,6th,92101,1,1,0,725,1 Story,2005,Exclusive Right (R),Monthly,35,2350,2350,02/01/2022,2300,03/09/2022
220003816,Rented,All Other Attached,1025,Island,92101,0,1,0,768,1 Story,2006,Exclusive Right (R),Monthly,11,2300,2300,02/19/2022,2300,03/09/2022
220002299,Rented,Detached,2626,Cape Horn,92036,2,1,1,1564,Other/Remarks,2003,Exclusive Right (R),Monthly,4,2300,2300,02/02/2022,2300,02/06/2022
220002668,Rented,All Other Attached,14990,Avenida Venusto,92128,2,1,0,875,1 Story,1988,Exclusive Right (R),Monthly,2,2300,2200,02/07/2022,2300,02/09/2022
220004369,Rented,All Other Attached,15263,Maturin,92127,2,1,0,949,1 Story,1995,Exclusive Right (R),Monthly,7,2300,2300,02/25/2022,2300,03/06/2022
210032618,Rented,Detached,2621,L,92102,2,1,0,815,1 Story,2015,Exclusive Right (R),Monthly,11,2300,2300,12/03/2021,2300,12/14/2021
220002026,Rented,All Other Attached,1835,Calvedos,91913,2,2,0,1060,2 Story,2005,Exclusive Agency (A),Monthly,40,2300,2300,01/29/2022,2300,03/11/2022
210033675,Rented,Detached,8501,Thunderbird,91941,2,1,0,774,1 Story,1951,Exclusive Agency (A),Monthly,1,2300,2300,12/20/2021,2300,12/21/2021
210032758,Rented,All Other Attached,450,J,92101,0,1,0,519,Other/Remarks,2004,Exclusive Agency (A),Monthly,18,2350,2350,12/06/2021,2350,12/24/2021
220002270,Rented,All Other Attached,6275,Rancho Mission,92108,1,1,0,667,1 Story,1979,Exclusive Agency (A),Monthly,15,2350,2350,02/02/2022,2350,02/17/2022
210033300,Rented,Apartment,10034,River,92040,3,1,1,1100,2 Story,1972,Exclusive Agency (A),Monthly,29,2350,2350,12/14/2021,2350,01/12/2022
210033672,Rented,All Other Attached,412,W San Marcos,92069,2,2,1,1187,2 Story,1993,Exclusive Right (R),Monthly,4,2350,2350,12/20/2021,2365,12/24/2021
220000034,Rented,All Other Attached,1240,India,92101,1,1,0,675,1 Story,2003,Exclusive Right (R),Monthly,9,2300,2300,01/04/2022,2380,01/13/2022
NDP2201066,Active,All Other Attached,2135,Coast Blvd,92014,0,1,,400,1 Story,0,Exclusive Right To Lease,,40,2395,2395,02/04/2022,,
210032967,Rented,All Other Attached,17189,Bernardo,92127,2,2,0,944,1 Story,1994,Exclusive Right (R),Monthly,18,2395,2395,12/09/2021,2395,12/27/2021
220004614,Active,All Other Attached,8640,Via Mallorca,92037,1,1,0,691,1 Story,1971,Exclusive Agency (A),Monthly,15,2400,2400,03/01/2022,,
OC22050636,Active,Detached,5385,Manzanares,92114,2,1,,932,1 Story,1950,Exclusive Right To Lease,,2,2400,2400,03/14/2022,,
210032976,Rented,All Other Attached,2752,B,92102,2,1,0,770,1 Story,2006,Exclusive Agency (A),Monthly,10,2400,2400,12/09/2021,2400,12/19/2021
220000504,Rented,All Other Attached,209,Woodland,92069,2,2,0,908,1 Story,1989,Exclusive Right (R),Monthly,11,2400,2400,01/10/2022,2400,01/22/2022
210033248,Rented,All Other Attached,350,K,92101,1,1,0,673,1 Story,2002,Exclusive Right (R),Monthly,22,2400,2400,12/13/2021,2400,01/04/2022
220003950,Rented,All Other Attached,5452,Adobe Falls,92120,2,2,0,1144,1 Story,1973,Exclusive Right (R),Monthly,6,2400,2200,02/22/2022,2400,02/28/2022
220005843,Pending,Detached,4069,Wilson,92104,2,1,0,1000,1 Story,1927,Exclusive Right (R),Monthly,1,2450,2450,03/15/2022,,
210032523,Rented,Apartment,347,C,92118,2,1,0,650,2 Story,9999,Exclusive Right (R),Monthly,33,2450,2450,12/02/2021,2450,01/04/2022
220004836,Rented,Detached,4796,Troy,91942,1,1,0,500,1 Story,2022,Exclusive Right (R),Monthly,4,2450,2450,03/03/2022,2450,03/09/2022
210034111,Rented,Apartment,1407,E 7th,91950,3,2,0,1000,1 Story,1980,Exclusive Agency (A),Monthly,10,2450,2450,01/02/2022,2450,01/12/2022
220001018,Rented,All Other Attached,3622,Bernwood,92130,1,1,0,600,1 Story,1992,Exclusive Right (R),Monthly,1,2450,2350,01/17/2022,2450,03/01/2022
220003476,Rented,All Other Attached,3769,1st,92103,2,2,0,834,1 Story,1973,Exclusive Right (R),Monthly,2,2450,2450,02/16/2022,2450,02/23/2022
210033399,Rented,All Other Attached,8451,Westmore,92126,2,2,0,866,2 Story,1983,Exclusive Right (R),Monthly,18,2450,2450,12/15/2021,2450,01/06/2022
220003182,Rented,Detached,4330,Bannock,92117,1,1,0,500,1 Story,2022,Exclusive Right (R),Monthly,17,2495,2495,02/12/2022,2495,03/01/2022
220002050,Rented,All Other Attached,7776,Madrilena,92009,1,1,0,850,1 Story,1977,Exclusive Right (R),Monthly,9,2495,2495,01/30/2022,2495,02/15/2022
220003699,Rented,All Other Attached,17161,Alva,92127,1,1,0,745,1 Story,1992,Exclusive Agency (A),Monthly,11,2495,2450,02/18/2022,2495,03/01/2022
NDP2201747,Active,All Other Attached,1223,Mitchell,92054,2,1,0,957,1 Story,1966,Exclusive Right To Lease,,19,2499,2499,02/25/2022,,
NDP2201745,Active,All Other Attached,1219,Mitchell,92054,2,1,0,957,1 Story,1965,Exclusive Right To Lease,,19,2499,2499,02/25/2022,,
220004574,Active,All Other Attached,275,Mollison,92020,2,1,0,800,1 Story,1962,Exclusive Agency (A),Monthly,16,2500,2500,02/28/2022,,
PTP2201122,Active,All Other Attached,2532,Crosshaven Lane,92139,2,2,0,1024,1 Story,1990,Exclusive Right To Lease,,26,2500,2500,02/18/2022,,
OC22038538,Active,Detached,10443,Greenford,92126,1,1,,700,1 Story,2016,Exclusive Right To Lease,,1,2500,2500,03/15/2022,,
220002033,Active,Townhome,5505,Adelaide,92115,2,1,1,1012,2 Story,1990,Exclusive Right (R),Monthly,46,2500,2500,01/29/2022,,
220005811,Active,All Other Attached,206,Park,92101,1,1,0,735,1 Story,2006,Exclusive Agency (A),Monthly,2,2500,2500,03/14/2022,,
220003803,Active,All Other Attached,526,Calle Montecito,92057,2,1,0,809,2 Story,1986,Exclusive Agency (A),Monthly,25,2500,2200,02/19/2022,,
PTP2201261,Pending,All Other Attached,1080,Park Blvd,92101,0,1,0,462,1 Story,2007,Exclusive Right To Lease,,6,2500,2500,02/25/2022,,
210033193,Rented,Townhome,7725,El Cajon,91942,2,2,1,1285,3 Story,2006,Exclusive Right (R),Monthly,48,2500,3000,12/11/2021,2500,02/01/2022
210033773,Rented,Detached,2429,Lemon Grove,91945,2,1,0,850,1 Story,1951,Exclusive Right (R),Monthly,12,2750,2750,12/23/2021,2500,01/04/2022
210033652,Rented,All Other Attached,445,Island,92101,1,1,0,547,1 Story,2004,Exclusive Right (R),Monthly,9,2500,2500,12/20/2021,2500,12/29/2021
220000168,Rented,All Other Attached,580,Camino De La Reina,92108,2,2,0,1274,1 Story,1991,Exclusive Right (R),Monthly,2,2395,2395,01/05/2022,2500,01/15/2022
220000363,Rented,All Other Attached,17147,West Bernardo,92127,2,2,0,944,2 Story,1994,Exclusive Right (R),Monthly,4,2500,2500,01/07/2022,2500,01/11/2022
ML81872949,Rented,,2467,Congress,92110,0,1,,700,,2016,Exclusive Right To Lease,,16,2500,2700,12/21/2021,2500,01/15/2022
210033646,Rented,Townhome,7225,Navajo,92119,2,2,0,1302,Split Level,1982,Exclusive Right (R),Monthly,9,2500,2500,12/20/2021,2500,12/29/2021
210032757,Rented,All Other Attached,255,2nd,92019,3,2,0,1065,1 Story,1985,Exclusive Agency (A),Monthly,26,2500,2500,12/06/2021,2500,01/04/2022
220001019,Rented,All Other Attached,5985,Dandridge Ln 100,92115,2,2,0,1314,1 Story,1985,Exclusive Right (R),Monthly,2,2500,2400,01/17/2022,2500,01/19/2022
220001172,Rented,All Other Attached,889,Date,92101,2,2,0,971,1 Story,2007,Exclusive Right (R),Monthly,1,2500,2500,01/19/2022,2500,01/20/2022
220004646,Rented,All Other Attached,3080,Lincoln,92008,1,1,0,615,1 Story,1965,Exclusive Agency (A),Monthly,3,2500,2500,03/01/2022,2500,03/04/2022
220004499,Active,All Other Attached,939,Coast,92037,0,1,0,432,1 Story,1966,Exclusive Right (R),Monthly,16,2550,2550,02/28/2022,,
210033445,Rented,Apartment,10325,Caminito Cuervo,92108,1,1,1,908,3 Story,1978,Exclusive Agency (A),Monthly,12,2500,2500,12/16/2021,2550,12/28/2021
220005148,Rented,Apartment,311,S Horne,92054,2,1,0,750,1 Story,1986,Exclusive Agency (A),Monthly,5,2550,2550,03/07/2022,2550,03/12/2022
210033626,Rented,Townhome,235,Marquette,92078,2,2,1,1438,3 Story,2004,Exclusive Right (R),Monthly,7,2595,2595,12/19/2021,2595,12/26/2021
220004380,Rented,Twinhome,4301,Black Duck,92057,2,2,0,1056,1 Story,1986,Exclusive Right (R),Monthly,8,2595,2595,02/25/2022,2595,03/06/2022
220003293,Rented,Apartment,2019,Reed,92109,1,1,0,650,1 Story,1954,Exclusive Agency (A),Monthly,4,2595,2595,02/15/2022,2595,02/19/2022
210033983,Rented,Apartment,3772,Ingraham,92109,2,1,0,800,1 Story,1958,Exclusive Right (R),Monthly,5,2595,2595,12/30/2021,2595,01/12/2022
PTP2201342,Active,All Other Attached,12505,Oaks North Dr,92128,2,2,,1050,1 Story,1977,Exclusive Right To Lease,,15,2600,2600,03/01/2022,,
210033934,Pending,All Other Attached,5540,Lindo Paseo,92115,2,2,0,705,1 Story,1986,Exclusive Agency (A),Monthly,7,2600,2600,12/29/2021,,
220003901,Pending,All Other Attached,8308,Regents,92122,2,2,0,1054,1 Story,1981,Exclusive Right (R),Monthly,9,2600,2600,02/21/2022,,
220002967,Pending,All Other Attached,3605,Ash,92105,2,2,0,824,1 Story,1987,Exclusive Agency (A),Monthly,28,2600,2700,02/10/2022,,
220004439,Pending,Apartment,5885,El Cajon Blvd 301,92115,2,2,0,1123,3 Story,1984,Exclusive Right w/ Exception,Monthly,9,2600,2600,02/26/2022,,
220000740,Rented,Detached,16092,Falcon Crest,92127,1,1,0,720,1 Story,2021,Exclusive Right (R),Monthly,33,2500,2500,01/13/2022,2600,02/16/2022
220004009,Rented,Apartment,5068,Marlborough,92116,2,1,0,750,1 Story,1948,Exclusive Right (R),Monthly,7,2600,2600,02/22/2022,2600,03/01/2022
220002520,Rented,All Other Attached,1911,Tremont,92054,2,1,1,800,1 Story,1935,Exclusive Agency (A),Monthly,31,2600,2500,02/04/2022,2600,03/09/2022
210032452,Rented,Detached,573,Emory,91932,2,1,0,900,1 Story,1958,Exclusive Right (R),Monthly,13,2600,2600,12/01/2021,2600,12/14/2021
220001199,Rented,Detached,3719,35th,92104,2,1,0,600,1 Story,2020,Exclusive Right (R),Monthly,0,2600,2300,01/19/2022,2600,01/12/2022
210032741,Rented,All Other Attached,1501,Front,92101,1,1,0,900,2 Story,2004,Exclusive Agency (A),Monthly,46,2600,2600,12/05/2021,2600,01/21/2022
220000394,Rented,All Other Attached,8418,Summerdale,92126,2,2,0,986,1 Story,1980,Exclusive Right (R),Monthly,24,2600,3149,01/07/2022,2600,02/01/2022
NDP2200547,Pending,All Other Attached,11892,Cypress Canyon,92131,2,2,,1129,2 Story,2000,Exclusive Right To Lease,,21,2650,2650,01/19/2022,,
220002048,Rented,All Other Attached,5810,Riley,92110,2,1,0,1020,1 Story,1972,Exclusive Right (R),Monthly,37,2650,2750,01/30/2022,2650,03/09/2022
220002115,Rented,Townhome,820,Mahogany,92078,2,2,0,1027,2 Story,2004,Exclusive Agency (A),Monthly,5,2650,2650,01/31/2022,2650,02/11/2022
220003757,Rented,Townhome,820,Mahogany,92078,2,2,0,1027,2 Story,2004,Exclusive Agency (A),Monthly,4,2650,2650,02/18/2022,2650,02/22/2022
220004986,Rented,All Other Attached,6635,Canopy Ridge,92121,2,1,0,991,2 Story,2014,Exclusive Right (R),Monthly,9,2700,2700,03/04/2022,2675,03/13/2022
220002671,Rented,All Other Attached,10995,Via Abaca,92126,2,2,0,882,1 Story,1979,Exclusive Agency (A),Monthly,2,2688,2688,02/07/2022,2688,02/09/2022
220003758,Active,All Other Attached,4887,Bella Pacific,92109,2,2,0,1110,1 Story,1987,Exclusive Right (R),Monthly,26,2695,2895,02/18/2022,,
220000630,Rented,Apartment,4548,Point Loma,92107,2,1,1,1088,2 Story,1981,Exclusive Right (R),Monthly,2,2695,2695,01/12/2022,2695,01/14/2022
NDP2201748,Active,Detached,1064,Escondido,92025,3,2,,900,1 Story,1973,Exclusive Right To Lease,,19,2699,2599,02/25/2022,,
220002772,Active,Townhome,4219,La Pinata,92057,2,2,0,1152,1 Story,1987,Exclusive Right (R),Monthly,30,2700,2800,02/08/2022,,
220005888,Active,All Other Attached,16577,Caminito Vecinos,92128,3,2,0,1250,1 Story,1971,Exclusive Agency (A),Monthly,1,2700,2700,03/15/2022,,
220005158,Rented,Detached,8038,Lemon,91941,2,1,0,900,1 Story,1979,Exclusive Right (R),Monthly,5,2500,2500,03/07/2022,2700,03/12/2022
220001537,Rented,Townhome,12073,World Trade,92128,2,2,0,1076,2 Story,1995,Exclusive Right (R),Monthly,3,2700,2700,01/24/2022,2700,01/27/2022
220004623,Rented,All Other Attached,17607,Pomerado,92128,2,2,0,1118,1 Story,1979,Exclusive Right (R),Monthly,6,2750,2750,03/01/2022,2700,03/08/2022
220002497,Rented,All Other Attached,9916,Scripps Westview,92131,2,2,0,1052,1 Story,1984,Exclusive Right (R),Monthly,25,2700,2750,02/04/2022,2700,03/01/2022
210034094,Rented,Townhome,2451,Chicago,92110,2,1,1,1088,2 Story,1979,Exclusive Right (R),Monthly,18,2700,2900,01/02/2022,2700,01/20/2022
210034205,Rented,All Other Attached,11215,Affinity,92131,2,2,0,1032,1 Story,1994,Exclusive Right (R),Monthly,24,2700,2700,01/04/2022,2700,01/28/2022
220000102,Rented,Rowhome,3170,Franklin,92113,3,2,0,1000,2 Story,2020,Exclusive Right (R),Monthly,5,2700,2700,01/05/2022,2700,01/19/2022
210033382,Rented,All Other Attached,1601,India,92101,1,1,0,926,1 Story,2002,Exclusive Right (R),Monthly,7,2750,2750,12/15/2021,2750,12/24/2021
ML81876408,Rented,,13933,Midland,92064,2,2,,984,,1989,Exclusive Right To Lease,,9,2750,2750,02/01/2022,2750,02/19/2022
220002935,Rented,Townhome,725,C,92118,2,2,0,1016,2 Story,1987,Exclusive Agency (A),Monthly,19,2750,2750,02/10/2022,2750,03/01/2022
220001518,Rented,All Other Attached,801,Ash,92101,2,2,0,1254,1 Story,2006,Exclusive Right (R),Monthly,3,2750,2750,01/24/2022,2750,02/08/2022
220003411,Rented,All Other Attached,645,Front,92101,1,1,1,888,1 Story,2003,Exclusive Agency (A),Monthly,5,2750,2750,02/16/2022,2750,02/23/2022
PTP2201015,Active,All Other Attached,2920,Briarwood,91902,2,1,1,1154,1 Story,1980,Exclusive Right To Lease,,30,2775,2775,02/14/2022,,
210032832,Rented,All Other Attached,9175,Campina,91942,2,2,0,872,1 Story,1977,Exclusive Right (R),Monthly,28,2795,2850,12/07/2021,2795,01/04/2022
210032499,Rented,Townhome,7254,Shoreline,92122,2,1,1,885,3 Story,1990,Exclusive Agency (A),Monthly,6,2795,2795,12/02/2021,2795,12/08/2021
210033518,Rented,Apartment,1729,Myers,92054,0,1,0,940,1 Story,1961,Exclusive Right (R),Monthly,19,2795,2795,12/17/2021,2795,01/06/2022
NDP2201743,Active,All Other Attached,501,Ditmar,92054,2,1,,950,1 Story,1970,Exclusive Right To Lease,,19,2799,2799,02/25/2022,,
